InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,InvoiceDay,Total_Spend,Day_Of_Week,Hour,Year,Month,cluster
314176,SKU_1887,Office Chair,10,2020-01-02 04:00:00,86.71,47802.0,Australia,0.36,Credit Card,16.86,Furniture,Online,Not Returned,DHL,Amsterdam,Low,2020-01-02,867.0999999999999,3,4,2020,1,2
521909,SKU_1286,White Mug,48,2020-01-02 07:00:00,8.39,59307.0,Netherlands,0.08,Bank Transfer,15.29,Electronics,In-store,Not Returned,Royal Mail,Amsterdam,Medium,2020-01-02,402.72,3,7,2020,1,1
586232,SKU_1722,Wall Clock,14,2020-01-02 09:00:00,10.32,54696.0,France,0.01,Credit Card,28.9,Stationery,In-store,Returned,DHL,Rome,Low,2020-01-02,144.48000000000002,3,9,2020,1,1
600186,SKU_1292,Headphones,32,2020-01-02 10:00:00,82.94,26741.0,Netherlands,0.15,Credit Card,28.6,Electronics,Online,Not Returned,UPS,Amsterdam,High,2020-01-02,2654.08,3,10,2020,1,2
970910,SKU_1984,Backpack,21,2020-01-02 12:00:00,61.34,87631.0,Belgium,0.24,Bank Transfer,9.39,Furniture,In-store,Not Returned,DHL,London,Low,2020-01-02,1288.14,3,12,2020,1,1
754811,SKU_1457,T-shirt,12,2020-01-02 15:00:00,29.06,30037.0,Portugal,0.15,paypall,12.84,Stationery,Online,Not Returned,UPS,London,Low,2020-01-02,348.71999999999997,3,15,2020,1,1
748143,SKU_1873,Blue Pen,21,2020-01-02 17:00:00,36.85,89341.0,Australia,0.15,paypall,28.34,Electronics,In-store,Not Returned,UPS,Berlin,Low,2020-01-02,773.85,3,17,2020,1,1
229981,SKU_1588,Desk Lamp,31,2020-01-02 20:00:00,2.1,47167.0,Norway,0.29,Bank Transfer,16.04,Furniture,Online,Not Returned,UPS,Amsterdam,Low,2020-01-02,65.10000000000001,3,20,2020,1,1
691723,SKU_1632,Wireless Mouse,31,2020-01-02 22:00:00,84.83,57796.0,Netherlands,0.12,Bank Transfer,23.25,Stationery,In-store,Not Returned,UPS,Paris,High,2020-01-02,2629.73,3,22,2020,1,2
431236,SKU_1793,Wall Clock,23,2020-01-03 03:00:00,33.63,25739.0,France,0.33,Bank Transfer,6.6,Apparel,Online,Not Returned,DHL,Rome,Medium,2020-01-03,773.49,4,3,2020,1,1
589492,SKU_1591,T-shirt,27,2020-01-03 06:00:00,49.95,28756.0,Italy,0.3,paypall,10.36,Stationery,In-store,Not Returned,DHL,London,Medium,2020-01-03,1348.65,4,6,2020,1,1
765987,SKU_1457,Blue Pen,41,2020-01-03 10:00:00,11.4,35294.0,Germany,0.08,Bank Transfer,12.87,Accessories,Online,Not Returned,UPS,Berlin,High,2020-01-03,467.40000000000003,4,10,2020,1,2
339629,SKU_1572,Notebook,31,2020-01-03 13:00:00,55.33,72552.0,Italy,0.05,Credit Card,25.13,Furniture,Online,Not Returned,Royal Mail,Paris,Low,2020-01-03,1715.23,4,13,2020,1,2
517113,SKU_1946,Notebook,20,2020-01-03 17:00:00,39.0,43390.0,Italy,0.09,paypall,21.67,Electronics,Online,Not Returned,Royal Mail,Berlin,Medium,2020-01-03,780.0,4,17,2020,1,2
748531,SKU_1739,USB Cable,19,2020-01-03 20:00:00,69.38,96641.0,Norway,0.33,paypall,27.74,Furniture,Online,Not Returned,UPS,Amsterdam,Medium,2020-01-03,1318.2199999999998,4,20,2020,1,2
778843,SKU_1102,Wall Clock,12,2020-01-03 22:00:00,70.77,94953.0,Germany,0.33,Bank Transfer,17.0,Electronics,In-store,Not Returned,FedEx,Rome,High,2020-01-03,849.24,4,22,2020,1,2
356508,SKU_1599,T-shirt,5,2020-01-04 00:00:00,61.05,55140.0,Spain,0.45,Bank Transfer,8.03,Electronics,Online,Not Returned,Royal Mail,Rome,Low,2020-01-04,305.25,5,0,2020,1,1
903591,SKU_1022,T-shirt,5,2020-01-04 01:00:00,94.77,55936.0,Portugal,0.13,Bank Transfer,19.81,Electronics,Online,Not Returned,Royal Mail,Rome,Low,2020-01-04,473.84999999999997,5,1,2020,1,2
996942,SKU_1292,White Mug,43,2020-01-04 02:00:00,15.02,34933.0,Australia,0.02,Credit Card,18.34,Furniture,Online,Not Returned,UPS,Berlin,High,2020-01-04,645.86,5,2,2020,1,1
206530,SKU_1266,Notebook,23,2020-01-04 03:00:00,24.56,14443.0,Sweden,0.32,paypall,14.23,Stationery,Online,Not Returned,Royal Mail,London,Low,2020-01-04,564.88,5,3,2020,1,1
560337,SKU_1951,Blue Pen,39,2020-01-04 06:00:00,36.99,83214.0,Belgium,0.38,paypall,20.06,Accessories,In-store,Not Returned,DHL,Rome,Medium,2020-01-04,1442.6100000000001,5,6,2020,1,2
905889,SKU_1450,Backpack,35,2020-01-04 08:00:00,30.82,53228.0,Italy,0.03,Credit Card,8.87,Furniture,Online,Returned,FedEx,Paris,Low,2020-01-04,1078.7,5,8,2020,1,1
559773,SKU_1897,Wireless Mouse,38,2020-01-04 09:00:00,81.28,42562.0,Sweden,0.18,paypall,27.77,Furniture,In-store,Not Returned,DHL,Amsterdam,High,2020-01-04,3088.64,5,9,2020,1,2
441097,SKU_1161,T-shirt,7,2020-01-04 12:00:00,15.96,30966.0,United Kingdom,0.28,paypall,23.88,Electronics,Online,Not Returned,DHL,Paris,High,2020-01-04,111.72,5,12,2020,1,1
371836,SKU_1480,T-shirt,30,2020-01-04 15:00:00,83.42,62583.0,United Kingdom,0.45,Bank Transfer,5.92,Electronics,Online,Not Returned,UPS,Paris,Low,2020-01-04,2502.6,5,15,2020,1,2
302283,SKU_1238,T-shirt,13,2020-01-04 17:00:00,7.54,89681.0,Belgium,0.38,Credit Card,26.46,Stationery,In-store,Not Returned,Royal Mail,Rome,Low,2020-01-04,98.02,5,17,2020,1,1
296769,SKU_1209,White Mug,6,2020-01-04 18:00:00,87.27,79200.0,Belgium,0.08,paypall,22.59,Electronics,Online,Not Returned,DHL,Paris,Low,2020-01-04,523.62,5,18,2020,1,1
723587,SKU_1001,Blue Pen,24,2020-01-04 21:00:00,25.98,46156.0,Italy,0.13,Bank Transfer,16.68,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium,2020-01-04,623.52,5,21,2020,1,0
587879,SKU_1714,Wall Clock,39,2020-01-04 23:00:00,60.36,90167.0,Sweden,0.07,Bank Transfer,24.41,Apparel,In-store,Not Returned,UPS,Rome,High,2020-01-04,2354.04,5,23,2020,1,2
453531,SKU_1880,Wall Clock,21,2020-01-05 02:00:00,3.75,84562.0,Portugal,0.02,Bank Transfer,16.33,Electronics,In-store,Not Returned,DHL,Berlin,Low,2020-01-05,78.75,6,2,2020,1,1
363160,SKU_1460,USB Cable,28,2020-01-05 03:00:00,7.96,97931.0,Portugal,0.35,Bank Transfer,6.64,Furniture,Online,Not Returned,FedEx,London,Low,2020-01-05,222.88,6,3,2020,1,2
374329,SKU_1585,Blue Pen,23,2020-01-05 12:00:00,49.73,59407.0,Italy,0.31,Credit Card,26.62,Electronics,Online,Not Returned,Royal Mail,Rome,High,2020-01-05,1143.79,6,12,2020,1,1
336584,SKU_1053,Notebook,26,2020-01-05 17:00:00,7.36,90743.0,Germany,0.05,paypall,29.14,Apparel,In-store,Not Returned,UPS,London,Low,2020-01-05,191.36,6,17,2020,1,2
476896,SKU_1108,Blue Pen,24,2020-01-05 20:00:00,76.55,54727.0,United States,0.0,paypall,8.27,Accessories,Online,Not Returned,UPS,London,Medium,2020-01-05,1837.1999999999998,6,20,2020,1,2
148984,SKU_1279,White Mug,9,2020-01-05 21:00:00,71.63,10961.0,Belgium,0.47,Bank Transfer,19.95,Apparel,In-store,Not Returned,UPS,London,High,2020-01-05,644.67,6,21,2020,1,2
402918,SKU_1664,Blue Pen,43,2020-01-05 22:00:00,30.59,66873.0,Belgium,0.2,paypall,10.32,Stationery,Online,Returned,UPS,London,High,2020-01-05,1315.37,6,22,2020,1,0
220151,SKU_1056,Wireless Mouse,37,2020-01-06 00:00:00,91.0,33058.0,Italy,0.42,paypall,11.14,Apparel,In-store,Not Returned,Royal Mail,Paris,High,2020-01-06,3367.0,0,0,2020,1,2
233767,SKU_1836,Wall Clock,11,2020-01-06 02:00:00,37.38,15608.0,Sweden,0.02,Credit Card,8.95,Electronics,In-store,Not Returned,FedEx,Amsterdam,Low,2020-01-06,411.18,0,2,2020,1,1
401648,SKU_1544,Headphones,17,2020-01-06 07:00:00,73.34,30303.0,Norway,0.23,paypall,9.78,Furniture,In-store,Not Returned,Royal Mail,London,Medium,2020-01-06,1246.78,0,7,2020,1,0
788519,SKU_1308,Notebook,40,2020-01-06 08:00:00,94.43,62272.0,United States,0.29,paypall,10.59,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,2020-01-06,3777.2000000000003,0,8,2020,1,0
686146,SKU_1527,USB Cable,17,2020-01-06 10:00:00,19.05,25812.0,France,0.02,Bank Transfer,11.25,Accessories,In-store,Not Returned,Royal Mail,Rome,Low,2020-01-06,323.85,0,10,2020,1,1
112666,SKU_1907,T-shirt,12,2020-01-06 12:00:00,98.82,63965.0,Germany,0.25,paypall,5.34,Apparel,In-store,Not Returned,FedEx,Rome,High,2020-01-06,1185.84,0,12,2020,1,2
234633,SKU_1217,White Mug,1,2020-01-06 14:00:00,19.89,55924.0,Australia,0.28,Bank Transfer,13.87,Stationery,Online,Not Returned,FedEx,Paris,High,2020-01-06,19.89,0,14,2020,1,0
384806,SKU_1099,Notebook,30,2020-01-06 19:00:00,69.96,15347.0,France,0.27,paypall,18.7,Stationery,Online,Not Returned,DHL,Amsterdam,High,2020-01-06,2098.7999999999997,0,19,2020,1,0
894824,SKU_1666,Office Chair,4,2020-01-06 20:00:00,52.48,60989.0,Spain,0.37,paypall,29.12,Apparel,In-store,Not Returned,DHL,London,High,2020-01-06,209.92,0,20,2020,1,1
556551,SKU_1632,USB Cable,9,2020-01-07 05:00:00,3.0,37447.0,Spain,0.41,Credit Card,5.01,Accessories,In-store,Not Returned,DHL,Berlin,Medium,2020-01-07,27.0,1,5,2020,1,1
715270,SKU_1517,T-shirt,33,2020-01-07 19:00:00,81.72,99835.0,Portugal,0.29,Bank Transfer,15.35,Stationery,In-store,Not Returned,UPS,Paris,Medium,2020-01-07,2696.7599999999998,1,19,2020,1,2
219176,SKU_1755,White Mug,42,2020-01-07 21:00:00,2.07,72043.0,United Kingdom,0.14,Credit Card,8.46,Electronics,Online,Not Returned,FedEx,Rome,Medium,2020-01-07,86.94,1,21,2020,1,2
353618,SKU_1722,Office Chair,39,2020-01-08 02:00:00,72.72,32464.0,Italy,0.11,Credit Card,24.11,Stationery,In-store,Not Returned,Royal Mail,Rome,Medium,2020-01-08,2836.08,2,2,2020,1,2
869598,SKU_1068,White Mug,42,2020-01-08 03:00:00,25.56,43533.0,Italy,0.27,Bank Transfer,10.56,Accessories,In-store,Not Returned,UPS,Berlin,Medium,2020-01-08,1073.52,2,3,2020,1,1
974371,SKU_1917,Backpack,31,2020-01-08 10:00:00,74.85,17169.0,France,0.01,Credit Card,9.29,Electronics,Online,Not Returned,Royal Mail,Paris,Medium,2020-01-08,2320.35,2,10,2020,1,2
827270,SKU_1938,White Mug,49,2020-01-08 14:00:00,2.23,44711.0,Spain,0.36,Credit Card,14.89,Stationery,In-store,Not Returned,DHL,London,High,2020-01-08,109.27,2,14,2020,1,1
961882,SKU_1798,Wall Clock,25,2020-01-08 20:00:00,49.1,58651.0,Germany,0.46,Bank Transfer,25.2,Electronics,In-store,Not Returned,UPS,Paris,Low,2020-01-08,1227.5,2,20,2020,1,1
515515,SKU_1218,Backpack,45,2020-01-08 23:00:00,17.82,37608.0,Spain,0.42,paypall,26.82,Electronics,Online,Returned,FedEx,Rome,High,2020-01-08,801.9,2,23,2020,1,2
143585,SKU_1822,Wall Clock,48,2020-01-09 00:00:00,37.1,77521.0,Sweden,0.16,Bank Transfer,28.1,Electronics,In-store,Not Returned,UPS,Amsterdam,Medium,2020-01-09,1780.8000000000002,3,0,2020,1,2
471369,SKU_1517,White Mug,23,2020-01-09 01:00:00,61.35,26697.0,United Kingdom,0.22,Credit Card,28.16,Electronics,Online,Not Returned,Royal Mail,Berlin,High,2020-01-09,1411.05,3,1,2020,1,1
209556,SKU_1131,Headphones,2,2020-01-09 04:00:00,14.2,91737.0,United States,0.46,Bank Transfer,6.51,Furniture,Online,Not Returned,Royal Mail,London,High,2020-01-09,28.4,3,4,2020,1,1
626981,SKU_1362,Backpack,32,2020-01-09 05:00:00,21.19,47742.0,Australia,0.47,Bank Transfer,16.79,Furniture,Online,Not Returned,DHL,Rome,Low,2020-01-09,678.08,3,5,2020,1,0
642335,SKU_1724,Notebook,27,2020-01-09 11:00:00,92.74,58567.0,Australia,0.45,Bank Transfer,26.28,Electronics,In-store,Not Returned,UPS,Berlin,Medium,2020-01-09,2503.98,3,11,2020,1,0
388249,SKU_1559,Wireless Mouse,36,2020-01-09 12:00:00,5.48,39410.0,Italy,0.07,Bank Transfer,6.8,Furniture,Online,Not Returned,UPS,Paris,Low,2020-01-09,197.28000000000003,3,12,2020,1,1
175766,SKU_1540,T-shirt,48,2020-01-09 13:00:00,49.92,33164.0,Germany,0.15,paypall,5.24,Electronics,In-store,Returned,FedEx,Paris,Low,2020-01-09,2396.16,3,13,2020,1,2
515192,SKU_1152,Notebook,9,2020-01-09 15:00:00,37.21,82942.0,United States,0.33,Credit Card,10.93,Stationery,Online,Returned,FedEx,Berlin,Medium,2020-01-09,334.89,3,15,2020,1,1
551269,SKU_1402,Backpack,10,2020-01-10 04:00:00,97.8,16090.0,Australia,0.27,Credit Card,9.03,Accessories,In-store,Not Returned,DHL,Amsterdam,Medium,2020-01-10,978.0,4,4,2020,1,1
890180,SKU_1069,USB Cable,47,2020-01-10 08:00:00,24.55,73136.0,France,0.35,paypall,9.58,Electronics,In-store,Returned,FedEx,Amsterdam,High,2020-01-10,1153.8500000000001,4,8,2020,1,1
161087,SKU_1827,Office Chair,6,2020-01-10 14:00:00,60.02,58309.0,United Kingdom,0.27,Bank Transfer,15.49,Apparel,Online,Not Returned,FedEx,London,High,2020-01-10,360.12,4,14,2020,1,1
937437,SKU_1035,T-shirt,29,2020-01-10 18:00:00,39.91,43644.0,Germany,0.1,Bank Transfer,10.42,Stationery,In-store,Not Returned,FedEx,Amsterdam,Low,2020-01-10,1157.3899999999999,4,18,2020,1,1
139353,SKU_1254,Wireless Mouse,10,2020-01-10 20:00:00,13.14,97802.0,France,0.18,paypall,15.02,Electronics,In-store,Not Returned,DHL,Amsterdam,High,2020-01-10,131.4,4,20,2020,1,1
293075,SKU_1312,Office Chair,14,2020-01-10 21:00:00,15.27,32750.0,Belgium,0.36,Credit Card,13.18,Accessories,In-store,Not Returned,DHL,Amsterdam,Low,2020-01-10,213.78,4,21,2020,1,1
165318,SKU_1019,Headphones,37,2020-01-11 00:00:00,4.72,65646.0,Germany,0.07,paypall,27.76,Stationery,In-store,Not Returned,UPS,Paris,High,2020-01-11,174.64,5,0,2020,1,1
516880,SKU_1477,Wireless Mouse,29,2020-01-11 03:00:00,93.34,85820.0,France,0.1,Credit Card,27.69,Electronics,In-store,Not Returned,FedEx,London,High,2020-01-11,2706.86,5,3,2020,1,2
840976,SKU_1759,T-shirt,15,2020-01-11 05:00:00,80.11,53285.0,France,0.26,paypall,29.05,Apparel,In-store,Not Returned,UPS,Rome,Medium,2020-01-11,1201.65,5,5,2020,1,1
881239,SKU_1471,Office Chair,40,2020-01-11 06:00:00,69.95,84794.0,Australia,0.35,Credit Card,20.23,Furniture,Online,Not Returned,DHL,Rome,High,2020-01-11,2798.0,5,6,2020,1,2
193264,SKU_1961,USB Cable,36,2020-01-11 07:00:00,80.56,16744.0,United States,0.13,Bank Transfer,19.72,Accessories,Online,Not Returned,DHL,Amsterdam,High,2020-01-11,2900.16,5,7,2020,1,2
325281,SKU_1348,USB Cable,21,2020-01-11 10:00:00,77.91,45122.0,Sweden,0.34,Credit Card,18.12,Accessories,Online,Not Returned,UPS,Amsterdam,Low,2020-01-11,1636.11,5,10,2020,1,1
737147,SKU_1766,Office Chair,36,2020-01-11 11:00:00,28.07,59068.0,Germany,0.45,Bank Transfer,8.76,Furniture,Online,Not Returned,UPS,Berlin,Low,2020-01-11,1010.52,5,11,2020,1,1
531839,SKU_1793,Headphones,5,2020-01-11 15:00:00,44.21,98008.0,Belgium,0.29,Bank Transfer,11.91,Apparel,Online,Not Returned,UPS,London,Medium,2020-01-11,221.05,5,15,2020,1,1
369536,SKU_1385,Wall Clock,7,2020-01-11 16:00:00,20.07,76447.0,Norway,0.09,paypall,8.98,Furniture,Online,Not Returned,UPS,London,Medium,2020-01-11,140.49,5,16,2020,1,1
417824,SKU_1941,Backpack,45,2020-01-11 17:00:00,10.47,76764.0,Belgium,0.38,paypall,25.98,Stationery,In-store,Not Returned,FedEx,Paris,Low,2020-01-11,471.15000000000003,5,17,2020,1,1
357426,SKU_1876,White Mug,47,2020-01-11 18:00:00,20.21,80754.0,Portugal,0.03,paypall,21.81,Furniture,Online,Returned,UPS,London,Low,2020-01-11,949.87,5,18,2020,1,2
842452,SKU_1982,Office Chair,29,2020-01-11 21:00:00,86.01,52913.0,Spain,0.09,Credit Card,7.07,Apparel,Online,Not Returned,UPS,Amsterdam,Medium,2020-01-11,2494.29,5,21,2020,1,0
335167,SKU_1654,Desk Lamp,35,2020-01-12 00:00:00,30.31,19125.0,Germany,0.08,Credit Card,6.06,Furniture,In-store,Not Returned,UPS,Rome,High,2020-01-12,1060.85,6,0,2020,1,1
819094,SKU_1331,Notebook,48,2020-01-12 03:00:00,44.99,40592.0,Portugal,0.15,paypall,7.98,Furniture,Online,Not Returned,FedEx,Amsterdam,Medium,2020-01-12,2159.52,6,3,2020,1,0
468452,SKU_1660,Desk Lamp,20,2020-01-12 12:00:00,83.7,38443.0,Italy,0.45,Credit Card,29.97,Apparel,In-store,Not Returned,Royal Mail,Rome,Low,2020-01-12,1674.0,6,12,2020,1,2
658986,SKU_1919,USB Cable,18,2020-01-12 15:00:00,17.39,97451.0,Spain,0.41,paypall,22.2,Stationery,Online,Returned,FedEx,Paris,High,2020-01-12,313.02,6,15,2020,1,1
967055,SKU_1734,Wall Clock,28,2020-01-12 17:00:00,58.6,10577.0,Spain,0.21,Credit Card,12.7,Stationery,Online,Not Returned,Royal Mail,Berlin,Low,2020-01-12,1640.8,6,17,2020,1,1
122671,SKU_1807,Wall Clock,7,2020-01-12 18:00:00,90.33,87209.0,France,0.15,Bank Transfer,15.55,Furniture,Online,Returned,UPS,London,Low,2020-01-12,632.31,6,18,2020,1,1
455528,SKU_1206,Blue Pen,40,2020-01-12 20:00:00,28.45,38196.0,Sweden,0.38,paypall,27.06,Apparel,In-store,Not Returned,FedEx,Berlin,Medium,2020-01-12,1138.0,6,20,2020,1,2
978338,SKU_1738,White Mug,6,2020-01-13 00:00:00,44.62,73585.0,United States,0.19,Credit Card,11.54,Furniture,In-store,Not Returned,FedEx,London,Medium,2020-01-13,267.71999999999997,0,0,2020,1,1
659042,SKU_1181,Blue Pen,13,2020-01-13 05:00:00,34.0,65625.0,Belgium,0.23,paypall,6.96,Electronics,In-store,Returned,FedEx,Rome,High,2020-01-13,442.0,0,5,2020,1,1
851102,SKU_1555,USB Cable,34,2020-01-13 06:00:00,45.44,91270.0,Belgium,0.12,paypall,20.06,Stationery,Online,Not Returned,FedEx,Amsterdam,Low,2020-01-13,1544.96,0,6,2020,1,0
862002,SKU_1209,Wall Clock,46,2020-01-13 07:00:00,10.52,74368.0,United Kingdom,0.32,Bank Transfer,5.84,Electronics,In-store,Not Returned,Royal Mail,Berlin,High,2020-01-13,483.91999999999996,0,7,2020,1,1
501896,SKU_1511,Wall Clock,10,2020-01-13 11:00:00,18.87,92574.0,United Kingdom,0.31,Bank Transfer,9.06,Accessories,In-store,Not Returned,Royal Mail,Amsterdam,Medium,2020-01-13,188.70000000000002,0,11,2020,1,1
577095,SKU_1138,White Mug,43,2020-01-13 13:00:00,20.93,78561.0,Sweden,0.22,Credit Card,6.02,Accessories,Online,Not Returned,FedEx,London,High,2020-01-13,899.99,0,13,2020,1,1
399648,SKU_1937,USB Cable,26,2020-01-13 18:00:00,13.63,13846.0,Portugal,0.36,paypall,21.17,Accessories,Online,Not Returned,Royal Mail,Rome,High,2020-01-13,354.38,0,18,2020,1,1
108155,SKU_1011,Headphones,8,2020-01-13 20:00:00,57.33,27902.0,Sweden,0.43,paypall,11.85,Accessories,Online,Not Returned,FedEx,Berlin,Medium,2020-01-13,458.64,0,20,2020,1,1
566872,SKU_1979,Office Chair,20,2020-01-13 21:00:00,99.49,66028.0,Spain,0.43,Bank Transfer,26.86,Electronics,In-store,Not Returned,FedEx,Paris,Medium,2020-01-13,1989.8,0,21,2020,1,1
458745,SKU_1571,Wall Clock,37,2020-01-14 07:00:00,17.88,98641.0,United States,0.32,Credit Card,6.31,Accessories,In-store,Not Returned,DHL,London,High,2020-01-14,661.56,1,7,2020,1,1
207512,SKU_1059,USB Cable,4,2020-01-14 08:00:00,50.17,41490.0,Germany,0.1,Credit Card,6.11,Apparel,Online,Not Returned,Royal Mail,Amsterdam,High,2020-01-14,200.68,1,8,2020,1,1
465871,SKU_1719,T-shirt,47,2020-01-14 14:00:00,5.53,87950.0,Norway,0.11,Credit Card,20.94,Accessories,In-store,Not Returned,FedEx,Rome,Low,2020-01-14,259.91,1,14,2020,1,1
217796,SKU_1691,USB Cable,1,2020-01-14 17:00:00,26.49,58638.0,United Kingdom,0.34,paypall,23.13,Furniture,In-store,Not Returned,UPS,Rome,High,2020-01-14,26.49,1,17,2020,1,1
292506,SKU_1009,White Mug,10,2020-01-14 19:00:00,29.31,98299.0,Australia,0.07,paypall,7.77,Accessories,Online,Not Returned,Royal Mail,Berlin,Low,2020-01-14,293.09999999999997,1,19,2020,1,1
480002,SKU_1797,USB Cable,1,2020-01-14 22:00:00,89.37,33323.0,Norway,0.13,paypall,8.0,Stationery,Online,Not Returned,FedEx,Berlin,High,2020-01-14,89.37,1,22,2020,1,1
798002,SKU_1256,T-shirt,12,2020-01-14 23:00:00,28.41,81681.0,United States,0.08,Bank Transfer,11.15,Electronics,Online,Not Returned,Royal Mail,Berlin,Low,2020-01-14,340.92,1,23,2020,1,1
639439,SKU_1309,Office Chair,41,2020-01-15 00:00:00,13.71,26855.0,Netherlands,0.22,Credit Card,15.81,Furniture,Online,Not Returned,UPS,Rome,High,2020-01-15,562.11,2,0,2020,1,0
478480,SKU_1152,Backpack,1,2020-01-15 09:00:00,4.46,60315.0,Netherlands,0.08,paypall,28.32,Apparel,Online,Not Returned,DHL,Rome,Medium,2020-01-15,4.46,2,9,2020,1,1
802335,SKU_1557,Desk Lamp,18,2020-01-15 21:00:00,81.72,74524.0,Australia,0.02,Bank Transfer,18.38,Accessories,Online,Returned,Royal Mail,Rome,Medium,2020-01-15,1470.96,2,21,2020,1,1
743409,SKU_1500,Blue Pen,36,2020-01-15 23:00:00,21.89,91317.0,Australia,0.3,Bank Transfer,25.23,Furniture,In-store,Not Returned,Royal Mail,Rome,Low,2020-01-15,788.04,2,23,2020,1,2
102869,SKU_1354,Backpack,32,2020-01-16 01:00:00,65.78,37314.0,Belgium,0.04,Bank Transfer,28.56,Electronics,In-store,Not Returned,UPS,Amsterdam,Medium,2020-01-16,2104.96,3,1,2020,1,1
554351,SKU_1986,Desk Lamp,30,2020-01-16 03:00:00,39.67,58164.0,United Kingdom,0.42,Bank Transfer,25.2,Accessories,Online,Not Returned,Royal Mail,London,Low,2020-01-16,1190.1000000000001,3,3,2020,1,0
718467,SKU_1423,Notebook,19,2020-01-16 06:00:00,57.43,48484.0,France,0.43,paypall,10.65,Electronics,Online,Not Returned,DHL,Berlin,Medium,2020-01-16,1091.17,3,6,2020,1,2
190272,SKU_1251,Wireless Mouse,18,2020-01-16 07:00:00,73.03,41488.0,Australia,0.49,Bank Transfer,10.65,Stationery,Online,Not Returned,DHL,Paris,High,2020-01-16,1314.54,3,7,2020,1,1
909760,SKU_1733,Wall Clock,5,2020-01-16 09:00:00,6.75,20294.0,United States,0.31,Credit Card,7.78,Accessories,In-store,Not Returned,DHL,Berlin,Low,2020-01-16,33.75,3,9,2020,1,2
580047,SKU_1506,Headphones,38,2020-01-16 11:00:00,26.46,28476.0,Portugal,0.19,paypall,27.54,Accessories,Online,Not Returned,UPS,Rome,Medium,2020-01-16,1005.48,3,11,2020,1,1
228391,SKU_1582,Notebook,2,2020-01-16 14:00:00,93.45,53078.0,Portugal,0.2,Credit Card,9.68,Accessories,In-store,Not Returned,FedEx,London,Low,2020-01-16,186.9,3,14,2020,1,1
710704,SKU_1332,Blue Pen,37,2020-01-16 16:00:00,28.9,78193.0,Germany,0.17,Credit Card,13.69,Stationery,In-store,Not Returned,Royal Mail,Berlin,Medium,2020-01-16,1069.3,3,16,2020,1,2
